gfx,cu_num,token,model_dim,inter_dim,expert,topk,act_type,dtype,q_dtype_a,q_dtype_w,q_type,use_g1u1,doweight_stage1,gate_mode,block_m,ksplit,us1,kernelName1,err1,us2,kernelName2,err2,us,run_1stage,xbf16,flat,tflops,bw,_tag
gfx950,256,32768,7168,768,384,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,interleave,128,0,5558.5313,mxfp4_moe_g1_a4w4_NE384_H7168_E768_BM128,0.0%,8486.851,mxfp4_moe_g2_a4w4_NE384_H7168_E768_TOPK6_BM128_NONATOMIC,0.0%,14045.3823,0,0,0,462.36,501.69,
gfx950,256,1,7168,512,384,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,interleave,16,0,2230.6578,mxfp4_moe_g1_a4w4_NE384_H7168_E512_BM16_INLINEQUANT,0.0%,2942.1936,mxfp4_moe_g2_a4w4_NE384_H7168_E512_TOPK6_BM16_ATOMIC_NT,0.0%,5172.8514,0,0,0,0.03,817.32,
gfx950,256,2,7168,512,384,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,interleave,16,0,2227.8662,mxfp4_moe_g1_a4w4_NE384_H7168_E512_BM16_INLINEQUANT,0.0%,2942.1368,mxfp4_moe_g2_a4w4_NE384_H7168_E512_TOPK6_BM16_ATOMIC_NT,0.0%,5170.003,0,0,0,0.05,817.78,
gfx950,256,4,7168,512,384,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,interleave,16,0,2236.4957,mxfp4_moe_g1_a4w4_NE384_H7168_E512_BM16_INLINEQUANT,0.0%,2946.6147,mxfp4_moe_g2_a4w4_NE384_H7168_E512_TOPK6_BM16_ATOMIC_NT,0.0%,5183.1104,0,0,0,0.1,815.72,
gfx950,256,8,7168,512,384,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,interleave,16,0,2242.9147,mxfp4_moe_g1_a4w4_NE384_H7168_E512_BM16_INLINEQUANT,0.0%,2966.4444,mxfp4_moe_g2_a4w4_NE384_H7168_E512_TOPK6_BM16_ATOMIC_NT,0.0%,5209.3591,0,0,0,0.2,811.62,
gfx950,256,16,7168,512,384,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,interleave,16,0,2274.9676,mxfp4_moe_g1_a4w4_NE384_H7168_E512_BM16_INLINEQUANT,0.0%,3013.4343,mxfp4_moe_g2_a4w4_NE384_H7168_E512_TOPK6_BM16_ATOMIC_NT,0.0%,5288.4019,0,0,0,0.4,799.52,
gfx950,256,32,7168,512,384,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,interleave,16,0,2317.4101,mxfp4_moe_g1_a4w4_NE384_H7168_E512_BM16_INLINEQUANT,0.0%,3086.1592,mxfp4_moe_g2_a4w4_NE384_H7168_E512_TOPK6_BM16_ATOMIC_NT,0.0%,5403.5693,0,0,0,0.78,782.55,
gfx950,256,64,7168,512,384,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,interleave,16,0,2367.44,mxfp4_moe_g1_a4w4_NE384_H7168_E512_BM16_INLINEQUANT,0.0%,3170.4883,mxfp4_moe_g2_a4w4_NE384_H7168_E512_TOPK6_BM16_ATOMIC_NT,0.0%,5537.9283,0,0,0,1.53,763.69,
gfx950,256,128,7168,512,384,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,interleave,16,0,2427.1205,mxfp4_moe_g1_a4w4_NE384_H7168_E512_BM16_INLINEQUANT,0.0%,3254.1291,mxfp4_moe_g2_a4w4_NE384_H7168_E512_TOPK6_BM16_ATOMIC_NT,0.0%,5681.2496,0,0,0,2.98,744.66,
gfx950,256,256,7168,512,384,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,interleave,32,0,2464.0811,mxfp4_moe_g1_a4w4_NE384_H7168_E512_BM32_NT,0.0%,3331.4394,mxfp4_moe_g2_a4w4_NE384_H7168_E512_TOPK6_BM32_ATOMIC_NT,0.0%,5795.5205,0,0,0,5.84,730.45,
gfx950,256,512,7168,512,384,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,interleave,32,0,2468.9295,mxfp4_moe_g1_a4w4_NE384_H7168_E512_BM32_NT,0.0%,3336.7511,mxfp4_moe_g2_a4w4_NE384_H7168_E512_TOPK6_BM32_ATOMIC_NT,0.0%,5805.6806,0,0,0,11.65,730.12,
gfx950,256,1024,7168,512,384,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,interleave,32,0,2495.8245,mxfp4_moe_g1_a4w4_NE384_H7168_E512_BM32_CACHED,0.0%,3372.623,mxfp4_moe_g2_a4w4_NE384_H7168_E512_TOPK6_BM32_ATOMIC,0.0%,5868.4475,0,0,0,23.05,724.19,
gfx950,256,2048,7168,512,384,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,interleave,32,0,2582.7264,mxfp4_moe_g1_a4w4_NE384_H7168_E512_BM32_CACHED,0.0%,3479.3565,mxfp4_moe_g2_a4w4_NE384_H7168_E512_TOPK6_BM32_ATOMIC,0.0%,6062.0829,0,0,0,44.64,704.69,
